EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,T
30,47,1,0,0,1,1,0,0,13,0,6.62007,4
31,47,1,0,0,1,1,0,0,13,0,6.70319,5
32,48,1,0,0,1,1,0,0,13,0,6.83518,6
33,48,1,1,0,1,1,0,0,13,0,6.93049,7
8,49,0,0,0,1,1,0,0,16,0,6.47697,1
9,48,0,0,0,1,1,0,0,16,0,6.47697,2
10,49,0,0,0,1,1,0,0,16,0,6.62007,3
11,49,0,0,0,0,1,0,0,16,0,6.80239,4
12,48,0,0,0,0,1,0,0,16,0,6.90776,5
13,48,0,0,0,0,1,0,0,16,0,6.90776,6
14,48,0,0,0,0,1,0,0,16,0,7.17012,7
7,48,0,0,1,1,0,0,0,16,0,6.69703,1
8,49,0,0,1,1,0,0,0,16,0,6.80239,2
9,49,0,0,1,1,0,0,0,16,0,6.8977,3
10,48,0,0,1,1,0,0,0,16,0,6.95655,4
11,46,0,0,1,1,0,0,0,16,0,7.1309,5
12,48,0,0,1,1,0,0,0,16,0,7.24423,6
13,48,0,0,1,1,0,0,0,16,0,7.40184,7
11,40,0,0,0,0,1,0,1,17,0,6.47697,1
12,40,0,0,0,0,1,0,1,17,0,6.62007,2
13,42,0,0,0,0,1,0,1,17,0,6.62007,3
14,40,0,0,0,0,1,0,1,17,0,6.68461,4
15,40,0,0,0,0,1,0,1,17,0,6.85646,5
16,40,0,0,0,0,1,0,1,17,0,6.90776,6
17,42,0,0,0,0,1,0,1,17,0,7.00307,7
13,49,1,0,0,1,1,0,1,16,0,6.46147,1
14,49,1,0,0,1,1,0,1,16,0,6.65544,2
15,49,1,0,0,1,1,0,1,16,0,6.73459,3
16,48,0,0,0,1,1,0,1,16,0,6.81344,4
17,47,0,0,0,1,1,0,1,16,0,6.91473,5
18,47,0,0,0,1,1,0,1,16,0,6.8533,6
19,47,0,0,0,1,1,0,1,16,0,7.11314,7
3,51,1,1,1,0,0,0,0,13,0,5.4161,1
4,51,1,1,1,0,0,0,0,13,0,5.52146,2
5,51,1,1,1,0,0,0,0,13,0,5.59842,3
6,45,0,0,1,0,0,0,0,13,0,5.70378,4
7,50,0,0,1,0,0,0,0,13,0,5.76832,5
8,50,1,0,1,0,0,0,0,13,0,5.8861,6
9,52,1,0,1,0,0,0,0,13,0,5.85793,7
23,36,1,1,1,0,1,0,0,8,1,5.66988,1
24,51,1,1,1,0,1,0,0,8,1,5.99146,2
25,51,1,1,1,0,1,0,0,8,1,6.08677,3
26,24,1,1,1,0,1,0,0,8,1,6.17379,4
27,50,1,1,1,0,1,0,0,8,1,6.25575,5
28,51,1,1,1,0,1,0,0,8,1,6.43775,6
29,47,1,1,1,0,1,0,0,8,1,6.44572,7
9,51,1,0,0,1,1,0,0,13,0,5.16479,1
10,47,0,0,0,1,1,0,0,13,0,5.62762,2
11,50,1,0,0,0,1,0,0,13,0,5.84354,3
12,48,1,0,0,0,1,0,0,13,0,5.96101,4
13,47,1,0,0,0,1,0,1,13,0,6.02828,5
14,47,1,0,0,0,1,0,1,13,0,6.15273,6
15,49,1,0,0,0,1,0,0,13,0,6.24611,7
10,48,0,0,1,0,1,0,0,10,0,5.52146,1
11,52,1,0,1,0,1,0,0,10,0,5.70378,2
12,51,1,1,1,0,1,0,0,10,0,6.20456,3
13,50,1,0,1,0,1,0,0,10,0,6.05912,4
14,39,1,0,1,0,1,0,0,10,0,6.19848,5
15,29,1,1,1,0,1,0,0,10,0,6.16121,6
16,39,1,0,1,0,1,0,0,10,0,6.2804,7
37,44,1,0,0,0,1,0,0,12,0,5.70378,1
38,52,1,0,1,1,0,0,0,12,0,5.78383,2
39,46,1,0,1,1,0,0,0,12,0,5.78383,3
40,48,1,0,1,1,0,0,0,12,0,6.16331,4
41,49,1,0,1,1,0,0,0,12,0,6.21461,5
42,50,1,0,1,1,0,0,0,12,0,6.21461,6
43,50,1,0,1,1,0,0,0,12,0,6.30992,7
10,50,1,0,0,0,0,1,0,8,0,5.42935,1
11,50,1,0,0,0,0,1,0,8,0,5.47227,2
12,50,1,0,0,0,0,1,0,8,0,5.64545,3
13,50,1,0,0,0,0,1,0,8,0,5.68698,4
14,37,1,0,0,0,0,1,0,8,0,5.85793,5
15,50,1,0,0,0,0,1,0,8,0,5.95324,6
16,50,1,0,0,0,0,1,0,8,0,6.05209,7
5,48,0,1,0,0,1,0,0,17,0,6.74524,1
6,50,0,1,0,0,1,0,0,17,0,6.81674,2
7,50,0,1,0,0,1,0,0,17,0,6.65929,3
8,50,0,1,0,0,1,0,0,17,0,7.09008,4
9,50,0,1,0,0,1,0,0,17,0,7.07918,5
10,50,0,1,0,0,1,0,0,17,0,6.98472,6
11,50,0,1,0,0,1,0,0,17,0,7.26193,7
6,46,1,0,0,1,1,0,1,16,0,6.35437,1
7,48,1,0,0,1,1,0,1,16,0,6.33683,2
8,47,1,0,0,1,1,0,1,16,0,6.43775,3
9,49,1,0,0,1,1,0,1,16,0,6.39693,4
10,49,0,0,0,1,1,0,0,16,0,7.23346,5
11,49,0,0,0,1,1,0,0,16,0,7.35883,6
12,50,1,0,0,1,1,0,0,16,0,7.17319,7
22,50,1,0,1,0,1,0,1,12,0,6.62007,1
23,49,1,0,1,0,1,0,1,12,0,6.66568,2
24,44,1,0,1,0,1,0,1,12,0,6.81454,3
25,38,1,0,1,0,1,0,1,12,0,6.88857,4
26,49,1,0,1,0,1,0,1,12,0,6.9575,5
27,50,1,0,1,0,1,0,1,12,0,6.93342,6
28,36,1,0,1,0,1,0,1,12,0,7.06561,7
12,47,1,0,0,1,0,0,1,12,0,6.12249,1
13,46,1,0,0,1,0,0,1,12,0,6.08904,2
14,47,1,0,0,1,0,0,1,12,0,6.29157,3
15,42,1,0,0,1,0,0,1,12,0,6.39693,4
16,48,1,0,0,1,0,0,1,12,0,6.49072,5
17,47,1,0,0,1,0,0,1,12,0,6.59715,6
18,46,1,0,0,1,0,0,1,12,0,6.56386,7
38,42,0,0,1,1,1,0,0,17,1,6.58617,1
39,34,0,0,1,1,1,0,0,17,1,6.62007,2
40,48,0,0,1,1,1,0,0,17,1,6.62007,3
41,46,0,0,1,1,1,0,0,17,1,6.40192,4
42,49,0,0,1,1,1,0,0,17,1,6.77422,5
43,34,0,0,1,1,1,0,0,17,1,6.9256,6
44,47,0,0,1,1,1,0,0,17,1,6.70073,7
15,51,1,1,0,0,1,0,1,7,0,6.16331,1
16,49,1,1,0,0,1,0,1,7,0,6.22654,2
17,50,1,1,0,0,1,0,1,7,0,6.32077,3
18,50,1,1,0,0,0,0,1,7,0,6.4552,4
19,48,1,1,0,0,0,0,1,7,0,6.51471,5
20,50,1,1,0,0,0,0,1,7,0,6.62007,6
21,49,1,1,0,0,0,0,1,7,0,6.66823,7
3,37,0,0,1,1,0,1,0,12,0,6.21461,1
4,49,0,0,1,1,0,1,0,12,0,6.71538,2
5,38,0,0,1,1,0,1,0,12,0,6.43775,3
6,49,0,0,1,1,0,1,0,12,0,6.65673,4
7,39,0,1,1,1,0,1,0,12,0,6.65929,5
8,51,0,1,1,1,0,1,0,12,0,6.86485,6
9,48,0,0,1,1,0,1,0,12,0,6.65286,7
12,41,1,0,0,1,1,0,1,14,0,6.54247,1
13,49,1,0,0,1,1,0,1,14,0,6.60259,2
14,32,1,0,0,1,1,0,1,14,0,6.74641,3
15,50,1,0,0,1,1,0,1,14,0,6.86485,4
16,46,1,0,0,1,1,0,1,14,0,6.95845,5
17,49,1,0,0,1,1,0,1,14,0,7.01392,6
18,49,1,0,0,1,1,0,1,14,0,7.11558,7
5,49,0,1,0,1,1,0,0,15,0,6.3699,1
6,48,0,1,0,1,1,0,0,15,0,6.39693,2
7,48,0,1,0,1,1,0,0,15,0,6.55962,3
8,48,0,0,0,1,1,0,0,15,0,6.73102,4
9,48,0,0,0,1,1,0,0,15,0,6.86485,5
10,47,0,1,0,1,1,0,0,15,0,7.15462,6
11,49,0,1,0,1,1,0,0,15,0,7.2724,7
11,48,0,0,0,0,1,0,0,12,1,6.05209,1
12,47,0,0,0,0,1,0,0,12,1,6.02345,2
13,50,0,0,0,0,1,0,0,12,1,6.30992,3
14,50,0,0,0,1,1,0,0,12,1,6.38012,4
15,49,0,0,0,1,1,0,0,12,1,6.65929,5
16,49,0,0,0,1,1,0,0,12,1,6.68461,6
17,49,0,0,0,1,1,0,0,12,1,6.73934,7
1,48,0,0,0,1,0,1,0,12,0,6.21461,1
2,48,0,0,0,1,0,1,0,12,0,6.21461,2
3,48,0,0,0,1,0,1,0,12,0,6.30992,3
4,48,0,0,0,1,0,1,0,12,0,6.39693,4
5,47,0,0,0,1,0,1,0,12,0,6.21461,5
6,47,0,0,0,1,0,1,0,12,0,6.39693,6
7,49,0,0,0,1,0,1,0,12,0,6.65286,7
10,39,1,0,0,1,1,0,1,7,0,6.34388,1
11,21,1,1,0,1,1,0,1,7,0,6.41346,2
12,40,1,1,0,1,1,0,1,7,0,6.72743,3
13,50,1,1,0,1,1,0,1,7,0,6.76504,4
14,50,1,1,0,1,1,0,1,7,0,6.85646,5
15,43,1,1,0,1,1,0,1,7,0,7.00307,6
16,42,1,1,0,1,1,0,1,7,0,7.17012,7
5,50,1,0,1,0,1,0,1,14,0,6.47697,1
6,49,1,0,1,0,1,0,1,14,0,6.58617,2
7,45,1,0,1,0,1,0,1,14,0,6.7334,3
8,38,1,0,1,0,1,0,1,14,0,6.81344,4
9,48,1,0,1,0,1,0,1,14,0,6.9613,5
10,17,0,0,1,0,1,0,0,14,0,6.50279,6
11,47,0,0,1,0,1,0,1,14,0,6.70196,7
33,49,1,1,1,0,1,0,1,7,0,5.99146,1
34,34,1,1,1,0,1,0,0,7,0,6.17794,2
35,51,1,1,1,0,1,0,0,7,0,6.17794,3
36,50,1,1,1,0,1,0,1,7,0,6.39693,4
37,50,1,1,1,0,1,0,1,7,0,6.50129,5
38,46,1,1,1,0,1,0,1,7,0,6.60665,6
39,31,1,1,1,0,1,0,1,7,0,6.90776,7
11,36,0,0,0,1,1,0,1,17,0,6.79122,1
12,36,0,0,0,1,1,0,1,17,0,6.84588,2
13,38,0,0,0,1,1,0,1,17,0,6.87213,3
14,36,0,0,0,1,1,0,1,17,0,6.95655,4
15,38,0,0,0,1,1,0,1,17,0,7.09672,5
16,41,0,0,0,1,1,0,1,17,0,7.16085,6
17,34,0,0,0,1,1,0,1,17,0,7.16085,7
37,48,1,1,0,1,1,0,1,8,0,6.28413,1
38,48,1,1,0,1,1,0,1,8,0,6.32794,2
39,35,1,1,0,1,1,0,1,8,0,6.47697,3
40,47,1,1,0,1,1,0,1,8,0,6.50429,4
41,46,1,1,0,1,1,0,1,8,0,6.58755,5
42,47,1,1,0,1,1,0,1,8,0,6.76504,6
43,47,1,1,0,1,1,0,1,8,0,6.81014,7
29,50,0,1,0,1,1,0,0,16,0,6.90575,1
30,50,0,1,0,1,1,0,0,16,0,6.90575,2
31,50,0,1,0,1,1,0,0,16,0,7.34601,3
32,49,0,1,0,1,1,0,0,16,0,7.20786,4
33,49,0,1,0,1,1,0,0,16,0,7.52294,5
34,48,0,1,0,1,1,0,0,16,0,7.67601,6
35,49,0,1,0,1,1,0,0,16,0,7.78322,7
30,39,1,0,1,0,1,0,0,11,0,6.10925,1
31,50,1,0,1,0,1,0,0,11,0,6.22654,2
32,50,1,0,1,0,1,0,0,11,0,6.31355,3
33,49,1,0,1,0,1,0,0,11,0,6.41999,4
34,49,1,0,1,0,0,0,0,11,0,6.51471,5
35,49,1,0,1,0,0,0,0,11,0,6.62804,6
36,48,1,0,1,0,0,0,0,11,0,6.83195,7
16,50,0,1,1,1,1,0,0,17,0,6.72743,1
17,52,0,1,1,1,1,0,0,17,0,6.8977,2
18,52,0,0,1,1,1,0,0,17,0,6.98379,3
19,52,0,1,1,1,1,0,0,17,0,7.07918,4
20,50,0,1,1,1,1,0,0,17,0,7.17012,5
21,50,0,1,1,1,1,0,0,17,0,7.14756,6
22,50,0,1,1,1,1,0,0,17,0,7.36518,7
12,49,1,1,0,1,0,0,0,12,0,5.78074,1
13,49,1,1,0,1,0,0,0,12,0,5.826,2
14,50,1,1,0,1,0,0,0,12,0,5.84644,3
15,45,1,1,0,1,0,0,0,12,0,5.95584,4
16,47,1,1,0,1,0,0,0,12,0,6.06611,5
17,45,0,1,0,1,0,0,0,12,0,6.19032,6
18,49,1,1,0,1,0,0,0,12,0,6.23637,7
8,44,1,0,0,1,1,0,0,11,0,5.99146,1
9,51,1,0,0,1,1,0,0,11,0,6.10925,2
10,51,1,0,0,1,1,0,0,11,0,6.39693,3
11,51,1,0,0,1,1,0,0,11,0,6.39693,4
12,50,1,0,0,1,1,0,0,11,0,6.47697,5
13,51,1,0,0,1,1,0,0,11,0,6.47697,6
14,51,1,0,0,1,1,0,0,11,0,6.55108,7
29,47,1,1,0,1,1,0,0,14,0,6.69703,1
30,47,1,1,0,1,1,0,0,14,0,6.79682,2
31,36,1,1,0,1,1,0,0,14,0,6.89467,3
32,46,1,1,0,1,1,0,0,14,0,6.96885,4
33,43,0,1,0,1,0,0,0,14,0,6.9256,5
34,44,1,1,0,1,1,0,0,14,0,7.18007,6
35,45,0,1,0,1,1,0,0,14,0,7.17242,7
3,50,0,1,0,1,0,0,0,17,0,6.68461,1
4,50,0,1,0,1,0,0,0,17,0,6.80239,2
5,49,0,1,0,1,0,0,0,17,0,6.90776,3
6,48,0,1,0,1,0,0,0,17,0,7.04752,4
7,49,0,1,0,1,0,0,0,17,0,7.04752,5
8,49,0,1,0,1,0,0,0,17,0,7.31322,6
9,49,0,1,0,1,0,0,0,17,0,7.43838,7
14,35,0,0,0,1,1,0,0,16,0,6.30992,1
15,35,0,0,0,1,1,0,0,16,0,6.58617,2
16,44,0,0,0,1,1,0,0,16,0,6.62007,3
17,43,0,0,0,1,1,0,0,16,0,6.90776,4
18,42,0,0,0,1,1,0,0,16,0,6.96602,5
19,42,0,0,0,1,1,0,0,16,0,7.06902,6
20,43,0,0,0,1,1,0,0,16,0,6.95655,7
17,52,1,1,1,1,0,0,0,7,0,5.73657,1
18,51,1,1,1,1,0,0,0,7,0,5.81413,2
19,50,1,1,1,1,0,0,0,7,0,5.8999,3
20,50,1,1,1,1,0,0,0,7,0,5.94017,4
21,50,1,1,1,1,0,0,0,7,0,6.13123,5
22,49,1,1,1,1,0,0,0,7,0,6.13123,6
23,48,1,1,1,1,0,0,0,7,0,6.10925,7
11,49,0,0,1,1,0,0,0,14,0,6.67203,1
12,48,0,0,1,1,0,0,0,14,0,6.84268,2
13,47,0,0,1,1,0,0,0,14,0,6.84055,3
14,48,0,0,1,1,0,0,0,14,0,6.85646,4
15,49,0,0,1,1,0,0,0,14,0,6.99485,5
16,46,0,0,1,1,1,0,0,14,0,7.05618,6
17,47,0,0,1,1,1,0,0,14,0,7.29709,7
6,49,0,0,1,1,1,0,0,12,0,6.36303,1
7,51,0,0,1,1,1,0,0,12,0,6.47697,2
8,50,0,0,1,1,1,0,0,12,0,6.57228,3
9,49,0,0,1,1,1,0,0,12,0,6.65929,4
10,49,0,0,1,1,1,0,0,12,0,6.80239,5
11,48,0,0,1,1,1,0,0,12,0,6.58893,6
12,49,0,1,1,1,1,0,0,12,0,6.76849,7
31,47,0,1,0,1,1,0,0,12,0,6.90575,1
32,48,0,1,0,1,1,0,0,12,0,6.90575,2
33,48,0,1,0,1,1,0,0,12,0,7.1309,3
34,45,0,1,0,1,1,0,0,12,0,7.1309,4
35,41,0,1,0,1,1,0,0,12,0,7.31322,5
36,42,0,1,0,1,1,0,0,12,0,7.32975,6
37,47,0,1,0,1,1,0,0,12,0,7.49554,7
15,31,1,1,0,0,1,0,1,12,0,6.24611,1
16,51,1,1,0,0,1,0,0,12,0,6.21461,2
17,45,1,1,0,0,1,0,1,12,0,6.47697,3
18,49,1,1,0,0,1,0,1,12,0,6.49677,4
19,48,1,1,0,0,1,0,1,12,0,6.61473,5
20,47,1,1,0,0,1,0,1,12,0,6.74524,6
21,45,1,1,0,0,1,0,1,12,0,7.1309,7
25,48,0,1,0,1,1,0,1,12,0,6.74524,1
26,48,0,1,0,1,1,0,0,12,0,6.81344,2
27,48,0,1,0,1,1,0,0,12,0,6.87213,3
28,47,0,1,0,1,1,0,0,12,0,7.10661,4
29,47,0,1,0,1,1,0,0,12,0,7.24423,5
30,47,1,1,0,1,1,0,0,12,0,7.2998,6
31,49,0,1,0,1,1,0,0,12,0,7.37776,7
37,47,0,1,0,1,1,0,1,12,0,6.50728,1
38,46,0,1,0,1,1,0,1,12,0,6.55108,2
39,46,0,1,0,1,1,0,1,12,0,6.8773,3
40,46,0,1,0,1,1,0,1,12,0,6.55108,4
41,47,0,1,0,1,1,0,1,12,0,7.04752,5
42,47,0,1,0,1,1,0,1,12,0,6.83411,6
43,40,0,1,0,1,1,0,1,12,0,6.74524,7
6,50,1,0,0,0,0,0,0,13,0,6.10925,1
7,49,1,0,0,0,0,0,0,13,0,6.31355,2
8,49,1,0,0,0,0,0,0,13,0,6.45362,3
9,49,0,0,0,1,0,0,0,13,0,6.68461,4
10,51,0,0,0,1,0,0,0,13,0,6.79122,5
11,52,0,0,0,1,0,0,0,13,0,6.83518,6
12,49,0,0,0,1,0,0,0,13,0,6.96791,7
19,49,0,0,0,1,0,0,0,13,0,6.90575,1
20,49,0,0,0,1,0,0,0,13,0,6.90575,2
21,49,0,0,0,1,0,0,0,13,0,7.1107,3
22,48,0,0,0,1,0,0,0,13,0,7.25134,4
23,46,0,0,0,1,0,0,0,13,0,7.34601,5
24,46,0,0,0,1,0,0,0,13,0,7.34601,6
25,48,0,0,0,1,0,0,0,13,0,7.2998,7
27,39,0,0,0,1,1,0,0,17,0,6.90575,1
28,36,0,0,0,1,1,0,0,17,0,6.90575,2
29,50,0,0,0,1,1,0,0,17,0,7.17012,3
30,48,0,0,0,1,1,0,0,17,0,7.4553,4
31,48,0,0,0,1,1,0,0,17,0,7.56008,5
32,39,0,0,0,1,1,0,0,17,0,7.37212,6
33,39,0,0,0,1,1,0,0,17,0,7.75577,7
29,50,0,0,0,1,1,0,0,17,0,6.28972,1
30,50,0,0,0,1,1,0,0,17,0,6.3613,2
31,50,0,0,0,0,1,0,0,17,0,6.43615,3
32,50,0,0,0,0,1,0,0,17,0,6.43455,4
33,49,0,0,0,0,1,0,0,17,0,6.41182,5
34,49,0,0,0,0,1,0,0,17,0,6.3699,6
35,49,0,0,0,0,1,0,0,17,0,6.4677,7
14,49,0,1,0,0,1,0,0,12,0,6.69456,1
15,49,0,1,0,0,1,0,0,12,0,6.76849,2
16,49,0,1,0,0,1,0,0,12,0,6.90776,3
17,49,0,1,0,0,1,0,0,12,0,7.03966,4
18,49,0,1,0,0,1,0,0,12,0,7.02554,5
19,49,0,1,0,0,1,0,0,12,0,7.22766,6
20,48,1,1,0,0,1,0,0,12,0,7.21229,7
14,50,1,1,0,0,1,0,1,14,0,6.74052,1
15,50,1,1,0,0,1,0,1,14,0,6.82979,2
16,49,1,1,0,0,1,0,1,14,0,6.80239,3
17,48,1,1,0,0,1,0,1,14,0,6.94698,4
18,50,1,1,0,0,1,0,1,14,0,7.01031,5
19,49,1,1,0,0,1,0,1,14,0,7.13569,6
20,48,1,1,0,0,1,0,1,14,0,7.06817,7
14,38,0,0,0,1,0,1,0,17,0,6.57925,1
15,36,0,0,0,1,0,1,1,17,0,6.39693,2
16,39,0,0,0,1,0,1,1,17,0,6.62007,3
17,42,0,0,0,1,0,1,1,17,0,6.7093,4
18,39,0,0,0,1,0,1,1,17,0,6.76849,5
19,27,0,0,0,1,0,1,1,17,0,6.93537,6
20,43,0,0,0,1,0,1,1,17,0,7.04752,7
25,41,1,1,0,0,1,0,1,9,0,6.58617,1
26,48,1,1,0,0,1,0,1,9,0,6.68461,2
27,48,1,1,0,0,1,0,1,9,0,6.71538,3
28,47,1,1,0,0,1,0,1,9,0,6.77422,4
29,41,1,1,0,0,1,0,1,9,0,6.85646,5
30,43,1,1,0,0,1,0,1,9,0,6.91672,6
31,47,1,1,0,0,1,0,1,9,0,6.99942,7
16,50,0,0,0,1,1,0,0,17,0,6.90575,1
17,50,0,0,0,1,1,0,0,17,0,6.90575,2
18,51,0,0,0,1,1,0,0,17,0,8.08641,3
19,49,0,0,0,1,1,0,0,17,0,8.22951,4
20,52,0,0,0,1,1,0,0,17,0,7.90986,5
21,50,0,1,0,1,1,0,0,17,0,8.12089,6
22,50,0,0,0,1,1,0,0,17,0,8.537,7
14,51,1,1,0,1,1,0,0,12,0,6.24417,1
15,50,1,1,0,1,1,0,0,12,0,6.39693,2
16,50,1,1,0,1,1,0,0,12,0,6.90776,3
17,49,1,1,0,1,1,0,0,12,0,6.90776,4
18,50,1,1,0,1,1,0,0,12,0,6.77194,5
19,50,1,1,0,1,1,0,0,12,0,6.86693,6
20,49,1,1,0,1,1,0,0,12,0,6.90776,7
13,51,0,1,0,1,1,0,0,16,0,6.90575,1
14,49,0,1,0,1,1,0,0,16,0,6.90575,2
15,49,0,1,0,0,0,0,0,16,0,7.46737,3
16,48,0,1,0,0,0,0,0,16,0,7.52294,4
17,49,0,1,0,0,0,0,0,16,0,7.6009,5
18,50,0,1,0,0,0,0,0,16,0,7.50769,6
19,49,0,1,0,0,0,0,0,16,0,7.64969,7
15,49,1,0,0,0,1,0,1,12,0,6.62007,1
16,48,1,0,0,0,1,0,1,12,0,6.71417,2
17,48,1,0,0,0,1,0,1,12,0,6.81892,3
18,49,1,0,0,0,1,0,1,12,0,6.97635,4
19,48,1,0,0,0,1,0,1,12,0,6.92658,5
20,49,1,0,0,0,1,0,1,12,0,7.00307,6
21,50,1,0,0,0,1,0,1,12,0,7.00307,7
27,47,1,1,1,0,1,0,1,8,0,6.30992,1
28,43,1,1,1,0,1,0,1,8,0,6.55108,2
29,50,1,1,1,0,1,0,1,8,0,6.56526,3
30,47,1,1,1,0,1,0,1,8,0,6.74524,4
31,47,1,1,1,0,1,0,1,8,0,6.93925,5
32,39,1,1,1,0,1,0,1,8,0,6.95655,6
33,29,1,1,1,0,1,0,1,8,0,7.00307,7
28,49,0,0,1,0,1,0,0,16,0,6.8977,1
29,50,0,0,1,0,1,0,0,16,0,6.90575,2
30,49,0,0,1,0,1,0,0,16,0,7.17012,3
31,49,0,0,1,0,1,0,0,16,0,7.31322,4
32,49,0,0,1,0,1,0,0,16,0,7.37776,5
33,49,0,0,1,0,1,0,0,16,0,7.49554,6
34,47,0,0,1,0,1,0,0,16,0,7.49554,7
14,38,1,1,1,1,1,0,1,12,0,6.22059,1
15,49,1,1,1,1,1,0,1,12,0,6.30079,2
16,49,1,1,1,1,1,0,1,12,0,6.37673,3
17,49,1,1,1,1,1,0,1,12,0,6.50129,4
18,49,1,1,1,1,1,0,1,12,0,6.62007,5
19,49,1,1,1,1,1,0,1,12,0,6.78672,6
20,49,1,1,1,1,1,0,1,12,0,6.91672,7
3,38,1,1,0,0,1,0,0,12,0,6.41673,1
4,51,1,1,0,0,1,0,0,12,0,6.4892,2
5,49,1,1,0,0,1,0,0,12,0,6.6174,3
6,51,1,1,0,0,1,0,0,12,0,6.70564,4
7,51,1,1,0,0,1,0,0,12,0,6.85646,5
8,50,1,0,0,0,1,0,0,12,0,6.43775,6
9,52,1,0,0,0,1,0,0,12,0,5.7462,7
28,51,1,0,0,1,1,0,1,14,0,6.83518,1
29,48,1,0,0,1,1,0,1,14,0,6.90575,2
30,48,1,0,0,1,1,0,1,14,0,7.08171,3
31,45,1,0,0,1,1,0,1,14,0,7.09838,4
32,48,1,0,0,1,1,0,1,14,0,7.37776,5
33,49,1,0,0,1,1,0,1,14,0,7.43838,6
34,37,1,0,0,1,1,0,1,14,0,7.35244,7
27,48,1,0,0,0,1,0,0,12,0,5.52146,1
28,30,1,0,0,0,1,0,0,12,0,5.89715,2
29,50,1,1,0,0,1,0,1,12,0,6.35611,3
30,50,1,1,0,0,1,0,1,12,0,6.47697,4
31,49,1,1,0,0,1,0,1,12,0,6.54679,5
32,42,1,1,0,0,1,0,1,12,0,6.65673,6
33,41,1,1,0,1,1,0,0,12,0,6.76273,7
31,49,0,1,0,1,1,0,1,8,0,6.07074,1
32,48,0,1,0,1,1,0,1,8,0,6.12687,2
33,49,0,1,0,1,1,0,1,8,0,6.21461,3
34,49,0,0,0,1,1,0,1,8,0,6.27288,4
35,49,0,0,0,1,1,0,1,8,0,6.32794,5
36,49,1,0,0,1,1,0,1,8,0,6.44413,6
37,49,1,1,0,1,1,0,1,8,0,6.49072,7
31,46,0,1,0,1,1,0,1,8,0,6.48311,1
32,45,0,1,0,1,1,0,1,8,0,6.52503,2
33,46,0,1,0,1,1,0,1,8,0,6.608,3
34,46,0,0,0,1,1,0,1,8,0,6.71538,4
35,46,0,0,0,1,1,0,1,8,0,6.84055,5
36,46,0,1,0,1,1,0,1,8,0,6.96979,6
37,46,1,1,0,1,1,0,1,8,0,7.04752,7
30,45,1,1,0,1,1,0,1,8,0,6.48311,1
31,43,1,1,0,1,1,0,1,8,0,6.55393,2
32,45,1,1,0,1,1,0,1,8,0,6.59987,3
33,45,1,1,0,1,1,0,1,8,0,6.7093,4
34,43,1,1,0,1,1,0,1,8,0,6.85646,5
35,38,1,1,0,1,1,0,1,8,0,6.96791,6
36,41,1,1,0,1,1,0,1,8,0,7.06219,7
21,51,0,0,1,0,1,0,0,17,0,6.90575,1
22,51,0,0,1,0,1,0,0,17,0,6.90575,2
23,50,0,0,1,0,1,0,0,17,0,7.43838,3
24,50,0,0,1,0,1,0,0,17,0,7.49554,4
25,51,0,0,1,0,1,0,0,17,0,7.57558,5
26,46,0,0,1,0,1,0,0,17,0,7.64969,6
27,50,0,0,1,0,1,0,0,17,0,7.54697,7
19,51,1,1,1,1,1,0,1,12,1,6.32794,1
20,50,1,1,1,1,1,0,1,12,1,6.47697,2
21,50,1,1,1,1,1,0,1,12,1,6.58617,3
22,50,1,1,1,1,1,0,1,12,1,6.68461,4
23,50,1,1,1,1,1,0,1,12,1,6.68461,5
24,50,1,1,1,1,1,0,1,12,1,6.94119,6
25,40,1,1,1,1,1,0,1,12,1,7.04752,7
4,47,1,1,0,0,0,0,1,12,0,5.72031,1
5,48,1,1,0,0,0,0,1,12,0,5.95842,2
6,51,1,1,0,0,0,0,1,12,0,6.02102,3
7,49,1,1,0,0,0,0,1,12,0,6.21461,4
8,49,1,1,0,0,0,0,1,12,0,6.29157,5
9,48,1,1,0,0,0,0,1,12,0,6.37161,6
10,49,1,1,0,0,0,0,1,12,0,6.45362,7
15,49,0,0,0,0,1,0,0,12,0,6.65286,1
16,49,0,0,0,0,1,0,0,12,0,6.77422,2
17,47,0,0,0,0,1,0,0,12,0,7.09008,3
18,48,0,1,0,0,1,0,0,12,0,6.90776,4
19,48,0,1,0,0,1,0,0,12,0,7.10824,5
20,48,0,1,0,0,1,0,0,12,0,7.0282,6
21,48,0,1,0,0,1,0,0,12,0,7.31322,7
20,48,0,1,0,1,1,0,0,13,0,6.90575,1
21,51,0,1,0,1,1,0,0,13,0,6.57925,2
22,50,0,1,0,1,1,0,0,13,0,7.18311,3
23,51,0,1,0,1,1,0,0,13,0,7.31322,4
24,49,0,1,0,1,1,0,0,13,0,7.40853,5
25,47,0,0,0,1,1,0,0,13,0,7.38647,6
26,48,0,1,0,1,1,0,0,13,0,7.64779,7
23,49,1,1,0,1,1,0,0,11,0,6.63726,1
24,49,1,1,0,1,1,0,0,11,0,6.78559,2
25,49,1,1,0,1,1,0,0,11,0,6.91274,3
26,49,1,1,0,1,1,0,0,11,0,6.98286,4
27,50,1,1,0,1,1,0,0,11,0,6.95655,5
28,49,1,1,0,1,1,0,0,11,0,7.0193,6
29,50,1,1,0,1,1,0,0,11,0,7.25347,7
23,47,0,0,0,1,1,0,0,16,0,6.90575,1
